3,4294967294,0,0,0,0,0,0
1,1,18,1584,0,21,1846,0
1,2,20,1760,0,18,1584,0
1,4294967294,0,0,0,0,0,0
6,1,9,762,0,90,7504,0
6,2,10,848,0,89,7414,0
6,3,76,6336,0,22,1840,0
6,4294967294,0,0,0,0,0,0
10,1,9,762,0,86,7116,0
10,2,8,672,0,88,7296,0
10,3,76,6304,0,21,1750,0
10,4294967294,0,0,0,0,0,0
14,3,102,8272,0,10,832,0
14,4294967294,0,0,0,0,0,0
3,1,9,742,0,106,8624,0
3,2,9,742,0,106,8624,0
3,3,91,7406,0,24,1960,0
3,4294967294,0,0,0,0,0,0
2,1,24,1960,0,91,7406,0
2,2,25,2050,0,90,7316,0
2,3,61,4966,0,53,4314,0
2,4294967294,0,0,0,0,0,0
13,1,11,902,0,107,8622,0
13,2,11,906,0,108,8708,0
13,3,90,7260,0,27,2194,0
13,4294967294,0,0,0,0,0,0
4,3,120,9604,0,10,812,0
4,4294967294,0,0,0,0,0,0
11,3,114,9076,0,11,902,0
11,4294967294,0,0,0,0,0,0
9,1,27,2170,0,100,7984,0
9,2,28,2264,0,99,7890,0
9,3,66,5264,0,62,4980,0
9,4294967294,0,0,0,0,0,0
5,3,120,9604,0,10,812,0
5,4294967294,0,0,0,0,0,0
7,3,121,9674,0,11,902,0
7,4294967294,0,0,0,0,0,0
12,3,120,9536,0,10,812,0
12,4294967294,0,0,0,0,0,0
8,3,130,10284,0,13,1058,0
8,4294967294,0,0,0,0,0,0
15,3,131,10318,0,12,976,0
15,4294967294,0,0,0,0,0,0
1,1,67,5294,0,77,6086,0
1,2,69,5470,0,74,5824,0
1,4294967294,0,0,0,0,0,0
6,1,12,972,0,134,10584,0
6,2,13,1058,0,133,10494,0
6,3,114,8996,0,31,2470,0
6,4294967294,0,0,0,0,0,0
10,1,12,972,0,128,10056,0
10,2,11,882,0,130,10236,0
10,3,112,8824,0,30,2380,0
10,4294967294,0,0,0,0,0,0
14,3,130,10232,0,12,972,0
14,4294967294,0,0,0,0,0,0
3,1,11,882,0,134,10584,0
3,2,11,882,0,134,10584,0
3,3,115,9086,0,30,2380,0
3,4294967294,0,0,0,0,0,0
2,1,30,2380,0,115,9086,0
2,2,31,2470,0,114,8996,0
2,3,77,6086,0,67,5294,0
2,4294967294,0,0,0,0,0,0
13,1,12,972,0,130,10232,0
13,2,12,976,0,131,10318,0
13,3,111,8730,0,31,2474,0
13,4294967294,0,0,0,0,0,0
4,3,134,10584,0,11,882,0
4,4294967294,0,0,0,0,0,0
11,3,128,10056,0,12,972,0
11,4294967294,0,0,0,0,0,0
9,1,31,2450,0,114,8964,0
9,2,33,2614,0,112,8800,0
9,3,74,5824,0,72,5680,0
9,4294967294,0,0,0,0,0,0
5,3,140,11004,0,11,882,0
5,4294967294,0,0,0,0,0,0
7,3,144,11284,0,12,972,0
7,4294967294,0,0,0,0,0,0
12,3,139,10866,0,12,952,0
